Year,Total Deaths,No. Injured,No. Affected,No. Homeless,Total_Damage_Display_PKR
2001,210.0,179.0,400000.0,0.0,69.83 B
2002,37.0,10.0,3000.0,1000.0,10.00 M
2003,266.0,476.0,1265767.0,0.0,0.00
2004,5.0,0.0,0.0,0.0,0.00
2005,636.0,470.0,7523073.0,3500.0,8.52 B
2006,400.0,525.0,2000.0,5600.0,0.00
2007,526.0,206.0,2500.0,0.0,92.86 B
2008,83.0,12.0,290752.0,0.0,29.24 B
2009,102.0,80.0,75000.0,0.0,0.00
2010,2113.0,2946.0,20360550.0,0.0,2696.76 B
2011,509.0,755.0,5400000.0,0.0,709.68 B
2012,518.0,2902.0,5047662.0,0.0,709.68 B
2013,268.0,912.0,1496870.0,0.0,425.80 B
2014,255.0,673.0,2530000.0,0.0,567.74 B
2015,367.0,499.0,1576991.0,0.0,280.00 M
2016,369.0,267.0,3135.0,7360.0,570.00 M
2017,180.0,817.0,62200.0,0.0,31.23 B
2018,60.0,0.0,5000.0,0.0,0.00
2019,206.0,97.0,800.0,0.0,0.00
2020,507.0,335.0,1559155.0,695.0,425.80 B
2021,220.0,17.0,90.0,250.0,2.84 B
2022,1739.0,12865.0,33000000.0,0.0,4258.05 B
2023,335.0,499.0,119305.0,0.0,0.00
2024,408.0,762.0,553838.0,400.0,0.00
